datetime,sunrise,sunset,conditions,cloudcover,moonphase
2017-08-04,2017-08-04T05:39:29,2017-08-04T19:56:27,Partially cloudy,45.9,0.45
2017-08-05,2017-08-05T05:40:30,2017-08-05T19:55:14,"Rain, Partially cloudy",63.8,0.48
2017-08-06,2017-08-06T05:41:31,2017-08-06T19:54:00,Clear,1.7,0.49
2017-08-07,2017-08-07T05:42:32,2017-08-07T19:52:44,"Rain, Partially cloudy",36.3,0.5
2017-08-08,2017-08-08T05:43:33,2017-08-08T19:51:26,"Rain, Partially cloudy",64.4,0.51
2017-08-09,2017-08-09T05:44:34,2017-08-09T19:50:08,Clear,6.4,0.52
2017-08-10,2017-08-10T05:45:35,2017-08-10T19:48:48,Clear,4.1,0.54
2017-08-11,2017-08-11T05:46:37,2017-08-11T19:47:27,Partially cloudy,40.6,0.57
2017-08-12,2017-08-12T05:47:38,2017-08-12T19:46:04,"Rain, Partially cloudy",85,0.62
2017-08-13,2017-08-13T05:48:40,2017-08-13T19:44:41,"Rain, Partially cloudy",57.6,0.67
2017-08-14,2017-08-14T05:49:42,2017-08-14T19:43:16,Clear,8.5,0.72
2017-08-15,2017-08-15T05:50:44,2017-08-15T19:41:51,"Rain, Partially cloudy",56.7,0.78
2017-08-16,2017-08-16T05:51:46,2017-08-16T19:40:24,Partially cloudy,31.4,0.84
2017-08-17,2017-08-17T05:52:48,2017-08-17T19:38:56,Clear,7.1,0.89
2017-08-18,2017-08-18T05:53:49,2017-08-18T19:37:27,"Rain, Partially cloudy",70.2,0.93
2017-08-19,2017-08-19T05:54:51,2017-08-19T19:35:57,"Rain, Partially cloudy",62.1,0.97
2017-08-20,2017-08-20T05:55:53,2017-08-20T19:34:27,Clear,11.3,0.99
2017-08-21,2017-08-21T05:56:55,2017-08-21T19:32:55,Clear,0,1
2017-08-22,2017-08-22T05:57:57,2017-08-22T19:31:23,Partially cloudy,63.4,0
2017-08-23,2017-08-23T05:58:59,2017-08-23T19:29:49,Partially cloudy,47.5,0.02
2017-08-24,2017-08-24T06:00:01,2017-08-24T19:28:15,Clear,17.1,0.04
2017-08-25,2017-08-25T06:01:02,2017-08-25T19:26:40,Partially cloudy,46.2,0.08
2017-08-26,2017-08-26T06:02:04,2017-08-26T19:25:04,Clear,8.1,0.12
2017-08-27,2017-08-27T06:03:06,2017-08-27T19:23:28,Clear,4.8,0.16
2017-08-28,2017-08-28T06:04:08,2017-08-28T19:21:51,Clear,11.2,0.21
2017-08-29,2017-08-29T06:05:09,2017-08-29T19:20:13,"Rain, Partially cloudy",20.2,0.26
2017-08-30,2017-08-30T06:06:11,2017-08-30T19:18:35,"Rain, Partially cloudy",41.8,0.31
2017-08-31,2017-08-31T06:07:13,2017-08-31T19:16:56,"Rain, Partially cloudy",21.7,0.35
2017-09-01,2017-09-01T06:08:14,2017-09-01T19:15:16,Clear,6.5,0.39
2017-09-02,2017-09-02T06:09:16,2017-09-02T19:13:36,Clear,0,0.43
2017-09-03,2017-09-03T06:10:17,2017-09-03T19:11:56,"Rain, Partially cloudy",71.8,0.46
2017-09-04,2017-09-04T06:11:19,2017-09-04T19:10:15,Clear,0,0.48
2017-09-05,2017-09-05T06:12:20,2017-09-05T19:08:33,Partially cloudy,20.1,0.5
2017-09-06,2017-09-06T06:13:22,2017-09-06T19:06:52,"Rain, Partially cloudy",86,0.5
2017-09-07,2017-09-07T06:14:23,2017-09-07T19:05:09,"Rain, Partially cloudy",53.2,0.51
2017-09-08,2017-09-08T06:15:24,2017-09-08T19:03:27,Clear,16.1,0.53
2017-09-09,2017-09-09T06:16:26,2017-09-09T19:01:44,Clear,10.5,0.56
2017-09-10,2017-09-10T06:17:27,2017-09-10T19:00:00,Partially cloudy,20.5,0.61
2017-09-11,2017-09-11T06:18:29,2017-09-11T18:58:17,Clear,1.3,0.66
2017-09-12,2017-09-12T06:19:30,2017-09-12T18:56:33,Clear,0,0.71
2017-09-13,2017-09-13T06:20:32,2017-09-13T18:54:49,Clear,7.1,0.77
2017-09-14,2017-09-14T06:21:34,2017-09-14T18:53:05,Partially cloudy,59.1,0.82
2017-09-15,2017-09-15T06:22:35,2017-09-15T18:51:21,"Rain, Partially cloudy",62.3,0.88
2017-09-16,2017-09-16T06:23:37,2017-09-16T18:49:37,Partially cloudy,54,0.92
2017-09-17,2017-09-17T06:24:39,2017-09-17T18:47:52,Partially cloudy,63.3,0.96
2017-09-18,2017-09-18T06:25:41,2017-09-18T18:46:07,Overcast,95.2,0.99
2017-09-19,2017-09-19T06:26:43,2017-09-19T18:44:23,"Rain, Overcast",91.3,1
2017-09-20,2017-09-20T06:27:45,2017-09-20T18:42:38,"Rain, Overcast",94.4,0
2017-09-21,2017-09-21T06:28:47,2017-09-21T18:40:54,"Rain, Overcast",95.3,0.01
2017-09-22,2017-09-22T06:29:49,2017-09-22T18:39:09,"Rain, Overcast",98.5,0.03
2017-09-23,2017-09-23T06:30:52,2017-09-23T18:37:25,"Rain, Partially cloudy",79,0.06
2017-09-24,2017-09-24T06:31:54,2017-09-24T18:35:41,Partially cloudy,22.8,0.09
2017-09-25,2017-09-25T06:32:57,2017-09-25T18:33:56,Partially cloudy,23.8,0.13
2017-09-26,2017-09-26T06:34:00,2017-09-26T18:32:12,"Rain, Partially cloudy",53.4,0.17
2017-09-27,2017-09-27T06:35:03,2017-09-27T18:30:29,Partially cloudy,66.9,0.22
2017-09-28,2017-09-28T06:36:06,2017-09-28T18:28:45,Partially cloudy,38.4,0.27
2017-09-29,2017-09-29T06:37:10,2017-09-29T18:27:02,Partially cloudy,28,0.32
2017-09-30,2017-09-30T06:38:13,2017-09-30T18:25:19,"Rain, Partially cloudy",68.2,0.36
2017-10-01,2017-10-01T06:39:17,2017-10-01T18:23:36,Clear,5.4,0.4
